smiles,pubchem_compound_id,pubchem_substance_id,pubchem_parent_compound_id,name,pubchem_name
,,,, 1st Precursur Intermediate to TDP 665759,
Cc1cc(Nc2ncc(F)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc1N1CCN(C)CC1,11569967.0,,11569967.0, AS-703569 ,Cenisertib
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,3025986.0,,3025986.0, BMS-387032,"N-(5-(((5-(1,1-Dimethylethyl)-2-oxazolyl)methyl)thio)-2-thiazolyl)-4-piperidinecarboxamide"
Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1,11387605.0,,11387605.0, CNS-9,Bafetinib
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,44462760.0,,44462760.0, Dabrafenib,Dabrafenib
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,10113978.0,,10113978.0, Pazopanib,Pazopanib
,,,, ZIP-301,
CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,10237.0,,10237.0,(+)-Bicuculline,Bicuculline
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,24360.0,,24360.0,(+)-Camptothecin,Camptothecin
O.Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,107957.0,,9064.0,(+)-Catechin Hydrate,(+)-Catechin Hydrate
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21.Cl.Cl.O,201899.0,,10219.0,(+)-Emetine dihydrochloride hydrate,(+)-Emetine dihydrochloride hydrate
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,46907787.0,,46907787.0,(+)-JQ-1,JQ1 compound
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,46907787.0,,46907787.0,(+)-JQ1,JQ1 compound
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,91466.0,,91466.0,(+)-Matrine,Matrine
COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,216345.0,,216345.0,(+)-Nutlin-3,"4-(4,5-bis(4-chlorophenyl)-2-(2-isopropoxy-4-methoxyphenyl)-4,5-dihydro-1H-imidazole-1-carbonyl)piperazin-2-one"
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl,5909.0,,5910.0,(+)-Pilocarpine hydrochloride,Pilocarpine Hydrochloride
,46907787.0,,,(+)JQ1,JQ1 compound
Cc1ccc2c(c1)C(=O)C1(O)CCN(c3ccccc3)C1=N2,3476986.0,,3476986.0,(+/-)-BLEBBISTATIN,"1,2,3,3a-Tetrahydro-3a-hydroxy-6-methyl-1-phenyl-4H-pyrrolo(2,3-b)quinolin-4-one"
COc1ccc(C2=N[C@H](c3ccc(Cl)cc3)[C@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,16755649.0,,16755649.0,(+/-)-nutlin-3,nutlin-3B
C/C=C1/[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,907504.0,,907504.0,(-)-Huperzine A (HupA),(-)-Isoselagine
,,,,(-)-gallocatechin-3-monogallate,
COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,11433190.0,,11433190.0,(-)-nutlin-3,Nutlin 3
,46907787.0,,,(-)JQ1,JQ1 compound
COc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,9863776.0,,9863776.0,(5Z)-7-OXOZEAENOL,(5Z)-7-Oxozeaenol
