original_id,consensus_id
,0
cls_token1,1
cls_token2,2
 1st Precursur Intermediate to TDP 665759,3
 AS-703569 ,4
SNS-032 (BMS-387032),5
sns-032,5
SNS-032 ,5
SNS-032,5
 BMS-387032,5
Bafetinib,6
 CNS-9,6
Dabrafenib,7
DABRAFENIB MESYLATE,7
 Dabrafenib,7
Dabrafenib mesylate,7
Dabrafenib (GSK2118436),7
dabrafenib,7
DABRAFENIB,7
GSK2118436,7
 Pazopanib,8
Pazopanib (GW786034),8
Pazopanib HCl,8
pazopanib,8
NSC-737754,8
PAZOPANIB HYDROCHLORIDE,8
PAZOPANIB,8
Pazopanib ,8
Pazopanib,8
Pazopanib hydrochloride,8
 ZIP-301,9
(+)-Bicuculline,10
(+)-Camptothecin,11
Camptothecin,11
Camptothecine (S.+),11
CAMPTOTHECIN,11
(+)-Catechin Hydrate,12
Cianidanol,12
(+)-Emetine dihydrochloride hydrate,13
JQ-1,14
JQ1,14
(-)JQ1,14
(+)-JQ-1,14
(+)-JQ1,14
(+)JQ1,14
(+)-Matrine,15
(+)-Nutlin-3,16
Pilocarpine nitrate,17
Pilocarpine,17
(+)-Pilocarpine hydrochloride,17
blebbistatin,18
(+/-)-BLEBBISTATIN,18
(+/-)-nutlin-3,19
(-)-Huperzine A (HupA),20
(-)-gallocatechin-3-monogallate,21
(-)-nutlin-3,22
Nutlin 3a,22
nutlin-3,22
NUTLIN-3,22
Nutlin-3,22
NUTLIN-3A (-),22
Nutlin-3a (-),22
Nutlin-3a,22
(5Z)-7-Oxozeaenol,23
(5Z)-7-OXOZEAENOL,23
(R)-(+)-Limonene,24
(R)-Duloxetine hydrochloride,25
(R)-Naproxen,26
(S)-(+)-Ketoprofen,27
(S)-Clopidogrel hydrogen sulfate,28
(S)-propranolol hydrochloride,29
(±)-Bisoprolol hemifumarate,30
1-Azakenpaullone,31
1-Methyl-[D]-tryptophan,32
1-methyl-D-tryptophan,33
1-methyl-D-tryptophan aq,34
"10,11-Dihydrocarbamazepine",35
10-Hydroxycamptothecin,36
10058-F4,37
10074-G5,38
1074,39
1092,40
1240,41
15D-PGJ2,42
16-BETA-BROMOANDROSTERONE,43
16-beta-bromoandrosterone,44
17 alpha-propionate,45
17AAG,46
17-AAG,46
tanespimycin,46
Tanespimycin ,46
TANESPIMYCIN,46
17-AAG (Tanespimycin),46
Tanespimycin,46
"17-Beta-Estradiol-3,17-Dipropionate",47
17-DMAG,48
Alvespimycin,48
17-Methyltestosterone,49
"1S,3R-RSL-3",50
2'-Deoxyuridine,51
"2,4-dideoxy-DC-45-A2",52
2-Aminobenzenesulfonamide,53
2-Aminoethanethiol,54
2-Fluoroadenosine,55
"2-Hydroxy-5-(2,5-dihydroxybenzylamino)benzoic acid",56
2-Pyridinealdoxime methochloride,57
2-methoxyestradiol,58
2-methoxyestradiol ,58
2104,59
2150,60
2DG,61
2nd Precursur Intermediate to TDP 665759,62
Triapine,63
3-AP,63
Bromopyruvate,64
3-Bromopyruvic acid,64
3-Cl-AHPC,65
3-Methyladenine,66
3-MA,66
3-chloro-L-alanine,67
4-Aminoantipyrine,68
4-Aminopyridine,69
4-Biphenylacetic acid,70
4-Hydroxyantipyrine,71
4-Methylpyrazole,72
4-Methylumbelliferone (4-MU),73
4-hydroxytamoxifen,74
4-methylfasudil,75
4EGI-1,76
4SC-202 ,77
"5,6-dichloro-1-?-D-ribofuranosylbenzimidazole",78
5-Acetylsalicylic acid,79
Aminolevulinic ,80
NSC-18509,80
AMINOLEVULINIC ACID HYDROCHLORIDE,80
5-Aminolevulinic acid hydrochloride,80
Aminolevulinic acid,80
Mylosar,81
Azacytidine (Vidaza),81
5-Azacytidine,81
AZACITIDINE,81
5-Azacitidine,81
Azacytidine,81
NSC-102816,81
azacitidine,81
Azacitidine  ,81
Azacitidine,81
fluorouracil,82
5FU,82
5-Fluorouracil,82
5fu,82
"Fluorouracil (5-Fluoracil, 5-FU)",82
NSC-19893,82
5-fu,82
5-FU,82
Fluorouracil,82
5-FLUOROURACIL,82
FLUOROURACIL,82
5-Nonyloxytryptamine oxalate,83
5-hydroxytryptophan (5-HTP),84
Aminocaproic acid,85
6-Aminocaproic acid,85
Mercaptopurine,86
6-Mercaptopurine monohydrate,86
MERCAPTOPURINE,86
Mercaptopurine (6-MP),86
NSC-755,86
6-Mercaptopurine,86
Thioguanine,87
6-Thioguanine,87
NSC-752,87
THIOGUANINE,87
Thioguanin,87
6-azauridine,88
681640,89
"7,8-Dihydroxyflavone",90
SN-38,91
7-Ethyl-10-hydroxycamptothecin,91
NSC-673596,91
sn-38,91
SN 38,91
8-Azaguanin,92
Azaguanine-8,92
"8-DODECYLSULFANYL-1,3-DIMETHYL-7H-PURINE-2,6-DIONE",93
Methoxsalen,94
METHOXSALEN,94
NSC-45923,94
8-Methoxypsoralen,94
8-amino-adenosine,95
8-chloro-adenosine,96
968,97
A 804598,98
A-804598,98
A-1155463,99
A-1210477,100
A-1331852,101
A-366,102
A-419259,103
"A-443654, KIN001-139",104
A-484954,105
"EEF2K INHIBITOR, A-484954",105
A-674563,106
a769662,107
A-769662,107
"A-770041, KIN001-111",108
A-83-01,109
Antibiotic A-23187,110
A23187,110
A66,111
A770041,112
A832234,113
AA-COCF3,114
MASITINIB,115
Masitinib (AB1010),115
Masitinib (AB-1010),115
Masitinib,115
masitinib,115
AB-1010,115
ABC294640,116
Abiraterone,117
NSC-749226,117
abiraterone,117
ABIRATERONE,117
ABT-199 (GDC-0199),118
VENETOCLAX,118
ABT-199,118
Venetoclax,118
ABT-263 (NAVITOCLAX),119
navitoclax,119
ABT-263,119
abt263,119
NAVITOCLAX,119
ABT-263 (Navitoclax),119
Navitoclax,119
ABT-348,120
ABT-737,121
ABT-737 ,121
ABT-751,122
ABT-751 (E7010),122
LINIFANIB,123
ABT-869,123
Linifanib,123
Linifanib (ABT-869),123
linifanib,123
Veliparib (ABT-888),124
VELIPARIB,124
veliparib/abt888,124
veliparib,124
ABT-888,124
Veliparib,124
ABT888 hydrochloride,124
abt-888,124
AC55649,125
AC 55649,125
quizartinib,126
Quizartinib (AC220),126
Quizartinib,126
QUIZARTINIB,126
AC-220,126
BMS-599626,127
AC480,127
BMS 599626,127
AC480 (BMS-599626),127
"ACETALAX, OXYPHENISATIN ACETATE",128
ACT 058362; Palosuran,129
ACT1-013,130
ACY-1215,131
Rocilinostat (ACY-1215),131
Ricolinostat,131
Rocilinostat,131
ACY-241,132
ACY-738,133
ADP,134
ADW-742,135
NVP-ADW742,135
ADX 47273,136
AEB-071,137
Sotrastaurin,137
SOTRASTAURIN,137
sotrastaurin,137
AEE788,138
NVP-AEE788,138
AEE788 (NVP-AEE788),138
AEE-788 ,138
AEG 3482,139
AEG-40730 ,140
AEW541,141
AEW-541,141
NVP-AEW541,141
Afatinib,142
AFATINIB,142
afatinib,142
BIBW2992,142
Afatinib (BIBW2992) Dimaleate,142
Afatinib (BIBW2992),142
Afatinib (BIBW-2992),142
AFP-464,143
AG 490,144
AG-490 (Tyrphostin B42),144
AG-490,144
PF-01367338,145
AG014699,145
RUCAPARIB,145
AG-014699,145
Rucaparib,145
Rucaparib ,145
AG-1024 ,146
AG-1024,146
Ivosidenib,147
AG-120,147
AG-126,148
AG14361,149
AG-14361,149
tyrphostin AG-1478,150
AG1478,150
AG-1478,150
AG-1478 (Tyrphostin AG-1478),150
AG-18,151
AG-2037,152
AG-221 (Enasidinib),153
Enasidenib,153
AG-337;Nolatrexed dihydrochloride,154
AG-494,155
IDH-C35,156
AGI-5198,156
AGI-6780,157
AGK-2,158
AGK 2,158
AICAR,159
AICAR (Acadesine),160
Acadesine,160
"AICAR, N1-(B-D-RIBOFURANOSYL)-5-AMINOIMIDAZOLE-4-CARBOXAMIDE",160
"AKT INHIBITOR VIII, KIN001-102",161
AKT Inhibitor IV,162
AKT Inhibitor X,163
AKT inhibitor VIII,164
Akti-1/2,164
ALA hydrochloride,165
ALECTINIB,166
Alectinib,166
CH-5424802,166
Alisertib,167
MLN-8237 ,167
alisertib,167
MLN8237,167
Alisertib (MLN8237),167
ALISERTIB,167
Alisertib ,167
NSC-1390,168
Allopurinol,168
ALLOPURINOL,168
ALPELISIB,169
Alpelisib,169
BYL719,169
BYL-719,169
ALPHA-BOSWELLIC ACID,170
ALTRETAMINE,171
NSC-13875,171
Altretamine,171
Flavopiridol (Alvocidib) hydrochloride,172
alvocidib,172
Alvocidib,172
Alvocidib ,172
ALVOCIDIB,172
FLAVOPIRIDOL (ALVOCIDIB),172
Flavopiridol (Alvocidib),172
Flavopiridol HCl,172
Flavopiridol,172
ALW-II-49-7,173
AM 580,174
AM-580,174
STAUROSPORINE,175
AM-2282,175
Staurosporine,175
staurosporine,175
AM095,176
AM281,177
AMA404,178
AMD-070,179
AMD-473,180
AMG-337,181
AMG 337,181
AMG-208,182
AMG-232,183
"AMG-319, AMG319",184
AMG319,184
AMG-458,185
Motesanib,186
AMG-706,186
Motesanib ,186
Motesanib Diphosphate (AMG-706),186
MOTESANIB,186
Motesanib (AMG-706),186
AMG-900,187
AMG-925,188
NSC-296961,189
Amifostine,189
AMIFOSTINE,189
AMPK Inhibitor,190
dorsomorphin,190
COMPOUND C,190
Dorsomorphin,190
Amuvatinib (MP-470),191
MP-470,191
Amuvatinib,191
AMUVATINIB,191
Amuvatinib(MP470),191
ANA-12,192
ANASTROZOLE,193
Anastrozole  ,193
NSC-719344,193
Anastrozole,193
AP0-866,194
AP24534  Ponatinib,195
AP26113 (Brigatinib),196
AP26113,196
RVX-208,197
APABETALONE,197
APD 668,198
APD597,199
APICIDIN,200
apicidin,200
"APITOLISIB, GDC0980",201
Apitolisib,201
GDC-0980,201
"Apitolisib (GDC-0980, RG7422)",201
GDC-0980 (RG7422),201
"APO866, FK866",202
APR-246,203
PRIMA-1MET,203
Prima-1 Met,203
APTSTAT3-9R,204
OSU-03012 (AR-12),205
OSU-03012,205
AR-12,205
osu03012,205
OSU-03012 ,205
Osu-03012 ,205
AR-42,206
AR-A014418,207
AR-C155858,208
"ARA-G, 9-??-D-ARABINOFURANOSYL GUANINE",209
ARN-509,210
Apalutamide,210
ARN 509,210
ARQ-197,211
tivantinib,211
Tivantinib (ARQ 197),211
TIVANTINIB,211
Tivantinib,211
ARQ-621,212
ARQ-680,213
"MEK162 (ARRY-162, ARRY-438162)",214
MEK-162,214
"Binimetinib (MEK162, ARRY-162, ARRY-438162)",214
ARRY-162,214
Binimetinib,214
MEK162,214
ARRY-380,215
ARRY-520 (isomer A),216
FILANESIB,216
Filanesib,216
ARRY-520 (isomer B),216
ARRY380,217
Arsenic trioxide,218
ARSENIC TRIOXIDE,218
Arsenic Trioxide,218
NSC-92859,218
Arsenic(III) oxide,218
ARV-825,219
AS 252424,220
AS-252424,220
as252424,220
AS-041164,221
AS-604850,222
Pimasertib,223
Pimasertib (AS-703026),223
AS-703026,223
AS601245,224
AS605240,225
"AS605240, KIN001-173",226
ASP 3026,227
ASP3026,227
ASP-3026,227
TIVOZANIB,228
Tivozanib (AV-951),228
ASP-4130,228
Tivozanib ,228
tivozanib,228
Tivozanib,228
ASP-7487,229
OSI-906,229
OSI-906 (LINSITINIB),229
linsitinib,229
LINSITINIB,229
Linsitinib,229
osi906,229
OSI-906 (Linsitinib),229
Allitinib,230
AST-1306,230
AST-487,231
AT-101; BL-193,232
AT 101,232
AT-101,232
Gossypol acetic acid,232
gossypol,232
GOSSYPOL,232
AT 7519  hydrochloride salt,233
AT-13148,234
AT13148,234
AT-13387 ,235
Onalespib,235
AT13387,235
"AT406 (SM- 406, ARRY- 334543)",236
AT-406,236
AT-7519,237
AT7519 trifluoroacetate,237
AT7519,237
AT-9283,238
AT9283,238
AT7867,239
ATB 346,240
ATRA,241
Tretinoin,241
TRETINOIN,241
NSC-122758,241
tretinoin,241
All-Trans retinoic acid,241
"Luminespib (AUY-922, NVP-AUY922)",242
NVP AUY922,242
Luminespib,242
NVP-AUY922,242
AUY-922,242
AUY922,243
AVAGACESTAT,244
BMS-708163,244
avagacestat,244
Avagacestat (BMS-708163),244
Avagacestat,244
Spebrutinib,245
AVL-292,245
AVN-944,246
AVN944,246
AWD 131-138,247
AXITINIB,248
NSC-757441,248
Axitinib (AG-013736),248
Axitinib,248
axitinib,248
AZ3146,249
AZ 3146,249
AZ-3146,249
AZ 628,250
AZ628,250
AZ-628,250
AZ960,251
AZ 960,251
AZ23,252
AZ-23,252
AZ191,253
AZ20,254
AZ505,255
AZ5104,256
AZ6102,257
Saracatinib,258
Saracatinib (AZD0530),258
saracatinib,258
AZD-0530,258
AZD0530,258
AZD 0530,258
SARACATINIB,258
Olaparib(1495) + Temozolomide(1375),259
"Olaparib (AZD2281, Ku-0059436)",259
Olaparib ,259
AZD 2281,259
AZD2281,259
OLAPARIB,259
Olaparib,259
olaparib,259
AZD4547,260
AZD 4547,260
AZD-4547,260
Capivasertib,261
AZD 5363,261
AZD5363,261
AZD-5363,261
AZD-6244,262
SELUMETINIB (AZD6244),262
AZD6244,262
Selumetinib (AZD6244),262
selumetinib,262
selumetinib/azd6244,262
Selumetinib,262
SELUMETINIB,262
AZD 6244,262
AZD-7762 ,263
AZD7762,263
AZD 7762,263
azd7762,263
AZD-1080,264
AZD1080,264
BARASERTIB,265
AZD-1152,265
barasertib,265
Barasertib,265
AZD1480,266
AZD-1480,266
AZD2014,267
AZD-2014,267
Vistusertib,267
CEDIRANIB,268
cediranib/azd2171,268
Cediranib (AZD2171),268
AZD-2171,268
Cediranib,268
cediranib,268
Cediranib ,268
AZD-2461,269
AZD2461,269
AZD2858,270
AZD-2858,270
AZD-3514,271
AZD3965,272
AZD-3965 ,272
AZD-5438,273
AZD5438,273
AZD-6482,274
AZD6482,274
AZD7545,275
AZD-7545,275
AZD-8055,276
AZD8055,276
AZD8186,277
AZD-8186,277
AZD8330,278
AZD-8330,278
AZD-8931,279
AZD8931 (Sapitinib),279
AZD8931,279
Sapitinib,279
AZD0156,280
AZD1152-HQPA (AZD2811),281
Barasertib (AZD1152-HQPA),281
AZD1152-HQPA,281
AZD2811,281
AZD1208,282
MK1775,283
MK 1775,283
mk1775,283
Adavosertib,283
MK-1775,283
azd1775,283
MK-1775 ,283
AZD1775,283
AZD2932,284
AZD3463,285
AZD3759,286
AZD5153,287
AZD5582,288
Azd6738,289
AZD6738,289
AZD8835,290
AZD9291,291
Osimertinib,291
OSIMERTINIB,291
Abamectin,292
Abbolactone,293
LY-2835219,294
Abemaciclib mesylate,294
